model_output_id,canonical_sci,canonical_zh,canonical_en,family_sci,family_zh,order_sci,iucn,protect_level,v3_n,v1_n,aug_n,in_china_v12,note
0,Abroscopus albogularis,棕脸鹟莺,rufous faced warbler,Cettiidae,树莺科,PASSERIFORMES,LC,,415,415,0,true,
1,Abroscopus schisticeps,黑脸鹟莺,black faced warbler,Cettiidae,树莺科,PASSERIFORMES,LC,,82,82,0,true,
2,Abroscopus superciliaris,黄腹鹟莺,yellow bellied warbler,Cettiidae,树莺科,PASSERIFORMES,LC,,80,41,39,true,
3,Acanthis flammea,白腰朱顶雀,common redpoll,Fringillidae,燕雀科,PASSERIFORMES,LC,,159,159,0,true,极北朱顶雀和白腰朱顶雀合并，保留中文名白腰朱顶雀，英文名由Common Redpoll修改为Redpoll。从名录中移除极北朱顶雀（Chesser et al. 2024，Mason & Taylor 2015，Funk et al. 2021）
4,Accipiter nisus,雀鹰,eurasian sparrowhawk,Accipitridae,鹰科,ACCIPITRIFORMES,LC,二级,898,898,0,true,
5,Aceros nipalensis,棕颈犀鸟,rufous necked hornbill,Bucerotidae,犀鸟科,BUCEROTIFORMES,VU,一级,90,62,28,true,
6,Acridotheres albocinctus,白领八哥,collared myna,Sturnidae,椋鸟科,PASSERIFORMES,LC,,120,120,0,true,
7,Acridotheres burmannicus,红嘴椋鸟,vinous breasted starling,Sturnidae,椋鸟科,PASSERIFORMES,LC,,75,44,31,true,
8,Acridotheres cristatellus,八哥,crested myna,Sturnidae,椋鸟科,PASSERIFORMES,LC,,3086,3086,0,true,
9,Acridotheres grandis,林八哥,great myna,Sturnidae,椋鸟科,PASSERIFORMES,LC,,136,136,0,true,
10,Acridotheres tristis,家八哥,common myna,Sturnidae,椋鸟科,PASSERIFORMES,LC,,283,283,0,true,
11,Acrocephalus agricola,稻田苇莺,paddyfield warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,139,139,0,true,
12,Acrocephalus arundinaceus,大苇莺,great reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,116,116,0,true,
13,Acrocephalus bistrigiceps,黑眉苇莺,black browed reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,273,273,0,true,
14,Acrocephalus concinens,钝翅苇莺,blunt winged warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,104,104,0,true,
15,Acrocephalus dumetorum,布氏苇莺,blyth's reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,99,64,35,true,
16,Acrocephalus melanopogon,须苇莺,moustached warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,85,36,49,true,
17,Acrocephalus orientalis,东方大苇莺,oriental reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,480,480,0,true,
21,Acrocephalus stentoreus,噪大苇莺,clamorous reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,82,30,52,true,
22,Acrocephalus tangorum,远东苇莺,manchurian reed warbler,Acrocephalidae,苇莺科,PASSERIFORMES,VU,,82,82,0,true,
23,Actinodura cyanouroptera,蓝翅希鹛,blue winged minla,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,274,274,0,true,
24,Actinodura egertoni,锈额斑翅鹛,rusty fronted barwing,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,92,63,29,true,
25,Actinodura morrisoniana,台湾斑翅鹛,taiwan barwing,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,86,86,0,true,
26,Actinodura nipalensis,纹头斑翅鹛,hoary throated barwing,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,87,40,47,true,
27,Actinodura ramsayi,白眶斑翅鹛,spectacled barwing,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,92,64,28,true,
29,Actinodura strigula,斑喉希鹛,bar throated minla,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,112,112,0,true,
30,Actinodura waldeni,纹胸斑翅鹛,streak throated barwing,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,90,61,29,true,
31,Actitis hypoleucos,矶鹬,common sandpiper,Scolopacidae,丘鹬科,CHARADRIIFORMES,LC,,1268,1268,0,true,
32,Aegithalos bonvaloti,黑眉长尾山雀,black browed bushtit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,92,62,30,true,
33,Aegithalos caudatus,北长尾山雀,long tailed tit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,506,506,0,true,
34,Aegithalos concinnus,红头长尾山雀,black throated bushtit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,2475,2475,0,true,
35,Aegithalos fuliginosus,银脸长尾山雀,sooty bushtit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,190,190,0,true,
36,Aegithalos glaucogularis,银喉长尾山雀,silver throated bushtit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,1748,1748,0,true,
37,Aegithalos iouschistos,棕额长尾山雀,rufous fronted bushtit,Aegithalidae,长尾山雀科,PASSERIFORMES,LC,,173,173,0,true,
38,Aegithina lafresnayei,大绿雀鹎,great iora,Aegithinidae,雀鹎科,PASSERIFORMES,LC,,115,115,0,true,
39,Aegithina tiphia,黑翅雀鹎,common iora,Aegithinidae,雀鹎科,PASSERIFORMES,LC,,253,253,0,true,
41,Aegypius monachus,秃鹫,cinereous vulture,Accipitridae,鹰科,ACCIPITRIFORMES,NT,一级,386,386,0,true,
42,Aerodramus brevirostris,短嘴金丝燕,himalayan swiftlet,Apodidae,雨燕科,APODIFORMES,LC,,135,135,0,true,
43,Aerodramus fuciphagus,爪哇金丝燕,edible nest swiftlet,Apodidae,雨燕科,APODIFORMES,LC,,80,80,0,true,爪哇金丝燕Aerodramus fuciphagus和戈氏金丝燕A.germani合并为一种A. fuciphagus，学名由Aerodramus germani改为Aerodramus fuciphagus，中文名由戈氏金丝燕改为爪哇金丝燕，应该文明由Germain's Swiftlet改为Edible-nest Swiftlet（Dickinson & Remsen 2013; del Hoyo & Collar 2014）
44,Aethopyga christinae,叉尾太阳鸟,fork tailed sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,925,925,0,true,
45,Aethopyga gouldiae,蓝喉太阳鸟,mrs gould's sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,344,344,0,true,
46,Aethopyga ignicauda,火尾太阳鸟,fire tailed sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,205,205,0,true,
47,Aethopyga nipalensis,绿喉太阳鸟,green tailed sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,122,122,0,true,
48,Aethopyga saturata,黑胸太阳鸟,black throated sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,251,251,0,true,
49,Aethopyga siparaja,黄腰太阳鸟,crimson sunbird,Nectariniidae,太阳鸟科,PASSERIFORMES,LC,,584,584,0,true,
50,Agraphospiza rubescens,赤朱雀,blanford's rosefinch,Fringillidae,燕雀科,PASSERIFORMES,LC,,157,157,0,true,
51,Agropsar philippensis,紫背椋鸟,chestnut cheeked starling,Sturnidae,椋鸟科,PASSERIFORMES,LC,,78,78,0,true,
52,Agropsar sturninus,北椋鸟,daurian starling,Sturnidae,椋鸟科,PASSERIFORMES,LC,,171,171,0,true,
53,Aix galericulata,鸳鸯,mandarin duck,Anatidae,鸭科,ANSERIFORMES,LC,二级,3065,3065,0,true,
54,Alauda arvensis,云雀,eurasian skylark,Alaudidae,百灵科,PASSERIFORMES,LC,二级,274,274,0,true,
55,Alauda gulgula,小云雀,oriental skylark,Alaudidae,百灵科,PASSERIFORMES,LC,,360,360,0,true,
57,Alauda leucoptera,白翅云雀,white winged lark,Alaudidae,百灵科,PASSERIFORMES,LC,,100,69,31,true,中文名由白翅百灵改为白翅云雀
58,Alaudala cheleensis,亚洲短趾百灵,asian short toed lark,Alaudidae,百灵科,PASSERIFORMES,LC,,107,107,0,true,
59,Alaudala heinei,中亚短趾百灵,turkestan short toed lark,Alaudidae,百灵科,PASSERIFORMES,NR,,90,40,50,true,
60,Alcedo atthis,普通翠鸟,common kingfisher,Alcedinidae,翠鸟科,CORACIIFORMES,LC,,2853,2853,0,true,
61,Alcedo hercules,斑头大翠鸟,blyth's kingfisher,Alcedinidae,翠鸟科,CORACIIFORMES,NT,二级,90,64,26,true,
62,Alcedo meninting,蓝耳翠鸟,blue eared kingfisher,Alcedinidae,翠鸟科,CORACIIFORMES,LC,二级,87,38,49,true,
63,Alcippe davidi,灰眶雀鹛,david's fulvetta,Alcippeidae,雀鹛科,PASSERIFORMES,NR,,175,175,0,true,
